Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.98760000e-06,2.48750000e+00,1.00300000e+02,1.95875000e+01,1.83000000e+01,1.51000000e+00
-5.98728000e-06,2.12500000e+00,1.00250000e+02,1.97625000e+01,1.82375000e+01,1.51187500e+00
-5.98696000e-06,2.52500000e+00,1.00250000e+02,1.96750000e+01,1.82000000e+01,1.51375000e+00
-5.98664000e-06,2.37500000e+00,1.00350000e+02,1.96875000e+01,1.82750000e+01,1.51500000e+00
-5.98632000e-06,2.37500000e+00,1.01350000e+02,1.95750000e+01,1.82625000e+01,1.51531250e+00
-5.98600000e-06,2.02500000e+00,1.00300000e+02,1.96250000e+01,1.82250000e+01,1.51500000e+00
-5.98568000e-06,2.57500000e+00,1.00600000e+02,1.95750000e+01,1.83875000e+01,1.51406250e+00
-5.98536000e-06,2.32500000e+00,1.00300000e+02,1.95750000e+01,1.82250000e+01,1.51281250e+00
-5.98504000e-06,2.57500000e+00,1.00100000e+02,1.96125000e+01,1.82125000e+01,1.51156250e+00
-5.98472000e-06,2.47500000e+00,1.00550000e+02,1.97000000e+01,1.82625000e+01,1.51000000e+00
-5.98440000e-06,2.12500000e+00,1.00750000e+02,1.96250000e+01,1.81125000e+01,1.50875000e+00
-5.98408000e-06,2.13750000e+00,1.00800000e+02,1.96750000e+01,1.83375000e+01,1.50812500e+00
-5.98376000e-06,2.51250000e+00,1.00450000e+02,1.95750000e+01,1.82875000e+01,1.50812500e+00
-5.98344000e-06,2.95000000e+00,1.00200000e+02,1.96500000e+01,1.83250000e+01,1.50812500e+00
-5.98312000e-06,2.56250000e+00,1.00450000e+02,1.97000000e+01,1.83500000e+01,1.50875000e+00
-5.98280000e-06,2.43750000e+00,1.00300000e+02,1.96250000e+01,1.83000000e+01,1.50937500e+00
-5.98248000e-06,2.22500000e+00,1.00800000e+02,1.97000000e+01,1.82625000e+01,1.51000000e+00
-5.98216000e-06,3.01250000e+00,1.00900000e+02,1.95500000e+01,1.81000000e+01,1.51062500e+00
-5.98184000e-06,2.62500000e+00,1.00400000e+02,1.95125000e+01,1.81625000e+01,1.51156250e+00
-5.98152000e-06,2.32500000e+00,1.00750000e+02,1.96625000e+01,1.82000000e+01,1.51281250e+00
-5.98120000e-06,2.63750000e+00,1.00550000e+02,1.96625000e+01,1.81000000e+01,1.51375000e+00
-5.98088000e-06,2.23750000e+00,1.01050000e+02,1.97000000e+01,1.84625000e+01,1.51531250e+00
-5.98056000e-06,2.13750000e+00,1.00500000e+02,1.96125000e+01,1.83500000e+01,1.51656250e+00
-5.98024000e-06,2.55000000e+00,1.00550000e+02,1.95625000e+01,1.82875000e+01,1.51812500e+00
-5.97992000e-06,2.83750000e+00,1.00800000e+02,1.97125000e+01,1.82750000e+01,1.51968750e+00
-5.97960000e-06,2.46250000e+00,1.00350000e+02,1.97875000e+01,1.83625000e+01,1.52062500e+00
-5.97928000e-06,2.20000000e+00,1.00250000e+02,1.96375000e+01,1.82250000e+01,1.52156250e+00
-5.97896000e-06,2.72500000e+00,1.00550000e+02,1.95750000e+01,1.82375000e+01,1.52156250e+00
-5.97864000e-06,2.85000000e+00,1.00700000e+02,1.95625000e+01,1.82250000e+01,1.52093750e+00
-5.97832000e-06,2.25000000e+00,1.00450000e+02,1.96750000e+01,1.82875000e+01,1.51937500e+00
-5.97800000e-06,1.86250000e+00,1.00550000e+02,1.96375000e+01,1.83000000e+01,1.51750000e+00
-5.97768000e-06,2.55000000e+00,1.00500000e+02,1.96250000e+01,1.82375000e+01,1.51562500e+00
-5.97736000e-06,2.48750000e+00,1.01050000e+02,1.96250000e+01,1.82000000e+01,1.51375000e+00
-5.97704000e-06,2.52500000e+00,1.00700000e+02,1.96750000e+01,1.82000000e+01,1.51218750e+00
-5.97672000e-06,2.42500000e+00,1.00650000e+02,1.97000000e+01,1.82000000e+01,1.51093750e+00
-5.97640000e-06,2.57500000e+00,1.00350000e+02,1.95375000e+01,1.82750000e+01,1.51062500e+00
-5.97608000e-06,2.38750000e+00,1.00050000e+02,1.97625000e+01,1.84375000e+01,1.51062500e+00
-5.97576000e-06,2.40000000e+00,1.00450000e+02,1.97250000e+01,1.83750000e+01,1.51093750e+00
-5.97544000e-06,3.08750000e+00,9.99500000e+01,1.96250000e+01,1.82500000e+01,1.51125000e+00
-5.97512000e-06,2.51250000e+00,1.00250000e+02,1.95500000e+01,1.82750000e+01,1.51218750e+00
-5.97480000e-06,2.48750000e+00,1.00650000e+02,1.98000000e+01,1.81625000e+01,1.51312500e+00
-5.97448000e-06,2.08750000e+00,1.00350000e+02,1.96500000e+01,1.81625000e+01,1.51437500e+00
-5.97416000e-06,2.38750000e+00,1.00650000e+02,1.96250000e+01,1.82750000e+01,1.51500000e+00
-5.97384000e-06,2.73750000e+00,1.00650000e+02,1.95625000e+01,1.83750000e+01,1.51593750e+00
-5.97352000e-06,2.27500000e+00,1.00500000e+02,1.96125000e+01,1.82125000e+01,1.51625000e+00
-5.97320000e-06,2.37500000e+00,1.00450000e+02,1.96500000e+01,1.83625000e+01,1.51687500e+00
-5.97288000e-06,2.22500000e+00,1.01100000e+02,1.96125000e+01,1.82625000e+01,1.51687500e+00
-5.97256000e-06,2.38750000e+00,1.00300000e+02,1.96750000e+01,1.82750000e+01,1.51656250e+00
-5.97224000e-06,2.56250000e+00,1.00300000e+02,1.96125000e+01,1.82000000e+01,1.51562500e+00
-5.97192000e-06,3.25000000e+00,1.00600000e+02,1.96250000e+01,1.81750000e+01,1.51437500e+00
