Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,4.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-8.16500000e-09,1.51020000e+02,1.51155000e+02,-1.56250000e-01,-1.87500000e-01,-6.90625000e-05
-7.84500000e-09,1.51020000e+02,1.51035000e+02,-4.68750000e-02,-1.25000000e-01,-1.54062500e-04
-7.52500000e-09,1.50900000e+02,1.50675000e+02,-8.75000000e-02,-9.37500000e-03,-1.64687500e-04
-7.20500000e-09,1.50720000e+02,1.50495000e+02,-8.75000000e-02,1.09375000e-01,-2.12500000e-04
-6.88500000e-09,1.50840000e+02,1.50615000e+02,-7.50000000e-02,-4.06250000e-02,-3.82500000e-04
-6.56500000e-09,1.51380000e+02,1.50975000e+02,-1.25000000e-02,-1.43750000e-01,-7.06562500e-04
-6.24500000e-09,1.50540000e+02,1.51095000e+02,-1.03125000e-01,-2.87500000e-01,-1.11031250e-03
-5.92500000e-09,1.50960000e+02,1.50915000e+02,-1.68750000e-01,-3.75000000e-02,-1.46625000e-03
-5.60500000e-09,1.51080000e+02,1.50855000e+02,-3.43750000e-02,-7.50000000e-02,-1.66812500e-03
-5.28500000e-09,1.51080000e+02,1.51335000e+02,2.81250000e-02,-1.56250000e-01,-1.68406250e-03
-4.96500000e-09,1.51080000e+02,1.50360000e+02,7.50000000e-02,-2.75000000e-01,-1.54593750e-03
-4.64500000e-09,1.51500000e+02,1.50660000e+02,-2.50000000e-02,-6.25000000e-02,-1.31218750e-03
-4.32500000e-09,1.50900000e+02,1.50435000e+02,-3.75000000e-02,-1.25000000e-02,-1.03593750e-03
-4.00500000e-09,1.51020000e+02,1.50735000e+02,-7.81250000e-02,-4.06250000e-02,-7.70312500e-04
-3.68500000e-09,1.50600000e+02,1.50420000e+02,-1.96875000e-01,2.18750000e-02,-6.10937500e-04
-3.36500000e-09,1.50960000e+02,1.50435000e+02,-2.84375000e-01,-2.21875000e-01,-6.10937500e-04
-3.04500000e-09,1.51260000e+02,1.51395000e+02,-3.43750000e-01,-1.00000000e-01,-7.38437500e-04
-2.72500000e-09,1.50780000e+02,1.51350000e+02,-1.65625000e-01,-1.53125000e-01,-9.19062500e-04
-2.40500000e-09,1.50780000e+02,1.50150000e+02,-3.46875000e-01,-1.40625000e-01,-1.04656250e-03
-2.08500000e-09,1.50720000e+02,1.50540000e+02,-3.46875000e-01,-5.00000000e-02,-1.09968750e-03
-1.76500000e-09,1.51140000e+02,1.50795000e+02,-5.09375000e-01,-4.06250000e-02,-1.12625000e-03
-1.44500000e-09,1.50900000e+02,1.50615000e+02,-4.46875000e-01,7.18750000e-02,-1.15812500e-03
-1.12500000e-09,1.51080000e+02,1.50315000e+02,-3.71875000e-01,-1.15625000e-01,-1.16875000e-03
-8.05000000e-10,1.51260000e+02,1.50735000e+02,-6.09375000e-01,-1.15625000e-01,-1.09968750e-03
-4.85000000e-10,1.50660000e+02,1.51095000e+02,-5.43750000e-01,-2.12500000e-01,-9.61562500e-04
-1.65000000e-10,1.50720000e+02,1.50435000e+02,3.87500000e-01,-1.00000000e-01,-8.76562500e-04
1.55000000e-10,1.50960000e+02,1.51095000e+02,1.60937500e+00,9.06250000e-02,-9.50937500e-04
4.75000000e-10,1.50900000e+02,1.50555000e+02,3.30625000e+00,3.12500000e-02,-1.20062500e-03
7.95000000e-10,1.50780000e+02,1.50435000e+02,5.06250000e+00,3.15625000e-01,-1.48750000e-03
1.11500000e-09,1.50960000e+02,1.50735000e+02,6.79375000e+00,3.34375000e-01,-1.63625000e-03
1.43500000e-09,1.51440000e+02,1.50855000e+02,8.98437500e+00,5.00000000e-01,-1.55656250e-03
1.75500000e-09,1.51260000e+02,1.51275000e+02,1.11843750e+01,6.78125000e-01,-1.26437500e-03
2.07500000e-09,1.51620000e+02,1.51455000e+02,1.33593750e+01,7.75000000e-01,-8.76562500e-04
2.39500000e-09,1.51080000e+02,1.50555000e+02,1.48781250e+01,1.08125000e+00,-4.78125000e-04
2.71500000e-09,1.50840000e+02,1.50915000e+02,1.58937500e+01,1.05000000e+00,-1.16875000e-04
3.03500000e-09,1.51200000e+02,1.50735000e+02,1.68875000e+01,1.12187500e+00,1.75312500e-04
3.35500000e-09,1.51020000e+02,1.51275000e+02,1.78125000e+01,7.50000000e-01,3.40000000e-04
3.67500000e-09,1.51500000e+02,1.50990000e+02,1.84000000e+01,7.28125000e-01,3.18750000e-04
3.99500000e-09,1.51440000e+02,1.50735000e+02,1.88750000e+01,6.50000000e-01,9.03125000e-05
4.31500000e-09,1.51380000e+02,1.50615000e+02,1.91000000e+01,5.31250000e-01,-2.81562500e-04
4.63500000e-09,1.51260000e+02,1.51335000e+02,1.92750000e+01,7.34375000e-01,-6.85312500e-04
4.95500000e-09,1.51020000e+02,1.51170000e+02,1.93250000e+01,6.46875000e-01,-1.02000000e-03
5.27500000e-09,1.50780000e+02,1.50735000e+02,1.93750000e+01,7.65625000e-01,-1.23250000e-03
5.59500000e-09,1.50960000e+02,1.50915000e+02,1.92750000e+01,7.62500000e-01,-1.30156250e-03
5.91500000e-09,1.50660000e+02,1.50735000e+02,1.92750000e+01,9.21875000e-01,-1.26437500e-03
6.23500000e-09,1.50780000e+02,1.50420000e+02,1.93500000e+01,9.81250000e-01,-1.16343750e-03
6.55500000e-09,1.50780000e+02,1.50615000e+02,1.92750000e+01,9.09375000e-01,-1.04656250e-03
6.87500000e-09,1.51080000e+02,1.51095000e+02,1.92125000e+01,9.84375000e-01,-9.35000000e-04
7.19500000e-09,1.50600000e+02,1.51095000e+02,1.94875000e+01,1.15000000e+00,-8.07500000e-04
7.51500000e-09,1.50480000e+02,1.51155000e+02,1.94375000e+01,1.06250000e+00,-6.74687500e-04
7.83500000e-09,1.50540000e+02,1.50795000e+02,1.92625000e+01,9.84375000e-01,-5.89687500e-04
8.15500000e-09,1.50780000e+02,1.50555000e+02,1.94625000e+01,1.09687500e+00,-6.00312500e-04
8.47500000e-09,1.51380000e+02,1.51095000e+02,1.95500000e+01,9.37500000e-01,-6.85312500e-04
8.79500000e-09,1.50720000e+02,1.51155000e+02,1.95750000e+01,1.20000000e+00,-7.33125000e-04
9.11500000e-09,1.50780000e+02,1.51035000e+02,1.95125000e+01,1.12500000e+00,-6.32187500e-04
9.43500000e-09,1.51440000e+02,1.50615000e+02,1.94375000e+01,1.20000000e+00,-3.61250000e-04
9.75500000e-09,1.51500000e+02,1.50975000e+02,1.94625000e+01,1.10000000e+00,0.00000000e+00
1.00750000e-08,1.51260000e+02,1.50795000e+02,1.94000000e+01,1.01250000e+00,3.50625000e-04
1.03950000e-08,1.51080000e+02,1.50735000e+02,1.94250000e+01,1.15937500e+00,5.89687500e-04
1.07150000e-08,1.51380000e+02,1.51215000e+02,1.94750000e+01,1.19687500e+00,6.80000000e-04
1.10350000e-08,1.51620000e+02,1.50735000e+02,1.93625000e+01,1.31875000e+00,6.42812500e-04
1.13550000e-08,1.50900000e+02,1.50600000e+02,1.94750000e+01,1.41875000e+00,6.00312500e-04
1.16750000e-08,1.50540000e+02,1.50105000e+02,1.94375000e+01,1.35625000e+00,6.95937500e-04
1.19950000e-08,1.51380000e+02,1.50615000e+02,1.95125000e+01,1.38125000e+00,1.03593750e-03
1.23150000e-08,1.51140000e+02,1.51095000e+02,1.92875000e+01,1.41875000e+00,1.63093750e-03
1.26350000e-08,1.50540000e+02,1.50435000e+02,1.93125000e+01,1.41875000e+00,2.35343750e-03
1.29550000e-08,1.50960000e+02,1.50915000e+02,1.93125000e+01,1.40625000e+00,3.02812500e-03
1.32750000e-08,1.51260000e+02,1.50915000e+02,1.92375000e+01,1.55625000e+00,3.48500000e-03
1.35950000e-08,1.50960000e+02,1.50915000e+02,1.91500000e+01,1.44062500e+00,3.63375000e-03
1.39150000e-08,1.51140000e+02,1.50735000e+02,1.92000000e+01,1.41250000e+00,3.45843750e-03
1.42350000e-08,1.51140000e+02,1.51095000e+02,1.92000000e+01,1.44062500e+00,3.01750000e-03
1.45550000e-08,1.50900000e+02,1.50900000e+02,1.91375000e+01,1.44375000e+00,2.44375000e-03
1.48750000e-08,1.51500000e+02,1.50675000e+02,1.93875000e+01,1.60625000e+00,1.87000000e-03
1.51950000e-08,1.51200000e+02,1.50915000e+02,1.92625000e+01,1.52812500e+00,1.38125000e-03
1.55150000e-08,1.50900000e+02,1.50315000e+02,1.93625000e+01,1.58750000e+00,9.93437500e-04
1.58350000e-08,1.51560000e+02,1.50675000e+02,1.92500000e+01,1.58750000e+00,6.74687500e-04
1.61550000e-08,1.51320000e+02,1.50480000e+02,1.91750000e+01,1.61250000e+00,3.82500000e-04
1.64750000e-08,1.51440000e+02,1.50165000e+02,1.92625000e+01,1.59062500e+00,9.03125000e-05
1.67950000e-08,1.51140000e+02,1.50975000e+02,1.92375000e+01,1.75937500e+00,-2.17812500e-04
1.71150000e-08,1.51500000e+02,1.51095000e+02,1.94125000e+01,1.63750000e+00,-5.41875000e-04
1.74350000e-08,1.51320000e+02,1.50555000e+02,1.93125000e+01,1.70000000e+00,-8.76562500e-04
