Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.25000000,,Zero Index,1874.25000000,,Zero Index,1874.25000000,,Zero Index,1874.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99760000e-07,-1.25000000e-01,2.53437500e+00,-9.37500000e-03,-7.81250000e-02
-5.99440000e-07,1.00000000e-01,2.55937500e+00,-2.18750000e-02,-8.28125000e-02
-5.99120000e-07,0.00000000e+00,2.58437500e+00,-4.12500000e-02,-4.29687500e-02
-5.98800000e-07,-5.00000000e-02,2.58437500e+00,-2.56250000e-02,5.31250000e-02
-5.98480000e-07,6.25000000e-02,2.65937500e+00,-9.37500000e-03,5.85937500e-02
-5.98160000e-07,1.75000000e-01,2.60937500e+00,-1.68750000e-02,-4.60937500e-02
-5.97840000e-07,6.25000000e-02,2.54687500e+00,-3.62500000e-02,-3.75000000e-02
-5.97520000e-07,1.25000000e-01,2.52187500e+00,-3.75000000e-02,-4.76562500e-02
-5.97200000e-07,1.25000000e-02,2.54687500e+00,-2.18750000e-02,-7.03125000e-02
-5.96880000e-07,8.75000000e-02,2.53437500e+00,-2.75000000e-02,-4.53125000e-02
-5.96560000e-07,8.75000000e-02,2.58437500e+00,-2.12500000e-02,5.23437500e-02
-5.96240000e-07,1.00000000e-01,2.47187500e+00,-1.37500000e-02,4.45312500e-02
-5.95920000e-07,1.00000000e-01,2.69687500e+00,-1.43750000e-02,2.18750000e-02
-5.95600000e-07,1.62500000e-01,2.65937500e+00,-2.18750000e-02,-5.31250000e-02
-5.95280000e-07,1.25000000e-01,2.60937500e+00,-1.18750000e-02,4.68750000e-03
