Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.26562500,,Zero Index,1874.26562500,,Zero Index,1874.26562500,,Zero Index,1874.26562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99765000e-07,1.12500000e-01,2.91562500e+00,-6.87500000e-03,-7.89062500e-02
-5.99445000e-07,2.50000000e-02,3.01250000e+00,-2.50000000e-03,-5.93750000e-02
-5.99125000e-07,1.37500000e-01,3.03437500e+00,-4.12500000e-02,-2.57812500e-02
-5.98805000e-07,-1.25000000e-02,2.97500000e+00,-2.75000000e-02,-1.64062500e-02
-5.98485000e-07,7.50000000e-02,3.03437500e+00,6.25000000e-03,8.59375000e-03
-5.98165000e-07,1.50000000e-01,3.06250000e+00,-2.75000000e-02,3.43750000e-02
-5.97845000e-07,5.00000000e-02,3.20312500e+00,6.25000000e-04,-1.79687500e-02
-5.97525000e-07,1.62500000e-01,2.97187500e+00,6.25000000e-04,-7.42187500e-02
-5.97205000e-07,2.00000000e-01,3.02500000e+00,-4.87500000e-02,-1.95312500e-02
-5.96885000e-07,2.50000000e-02,3.09687500e+00,-2.56250000e-02,3.75000000e-02
-5.96565000e-07,-2.50000000e-02,2.93750000e+00,-2.62500000e-02,-1.64062500e-02
-5.96245000e-07,6.25000000e-02,3.12812500e+00,-3.81250000e-02,-3.98437500e-02
-5.95925000e-07,-1.25000000e-02,2.88437500e+00,-4.12500000e-02,-3.82812500e-02
-5.95605000e-07,1.12500000e-01,2.92187500e+00,-2.75000000e-02,-3.98437500e-02
-5.95285000e-07,-3.75000000e-02,3.05937500e+00,1.12500000e-02,3.67187500e-02
-5.94965000e-07,1.25000000e-01,3.01250000e+00,-1.37500000e-02,3.12500000e-03
-5.94645000e-07,1.50000000e-01,2.93437500e+00,-4.37500000e-02,-3.12500000e-03
-5.94325000e-07,1.12500000e-01,3.05937500e+00,-1.18750000e-02,-5.00000000e-02
-5.94005000e-07,0.00000000e+00,3.06250000e+00,-5.00000000e-03,-1.38281250e-01
-5.93685000e-07,2.37500000e-01,3.20625000e+00,-4.37500000e-02,-1.87500000e-01
-5.93365000e-07,1.37500000e-01,3.11562500e+00,-4.31250000e-02,-9.84375000e-02
-5.93045000e-07,1.00000000e-01,3.06250000e+00,-4.37500000e-03,-1.32812500e-02
-5.92725000e-07,7.50000000e-02,2.97500000e+00,-3.06250000e-02,-5.00000000e-02
-5.92405000e-07,1.25000000e-01,3.07812500e+00,-3.06250000e-02,-2.65625000e-02
-5.92085000e-07,1.50000000e-01,3.13125000e+00,8.12500000e-03,-1.87500000e-02
-5.91765000e-07,2.50000000e-02,3.04687500e+00,-4.06250000e-02,-2.57812500e-02
-5.91445000e-07,-3.75000000e-02,2.88750000e+00,-2.81250000e-02,-1.13281250e-01
-5.91125000e-07,1.37500000e-01,3.02187500e+00,-2.25000000e-02,-1.38281250e-01
-5.90805000e-07,7.50000000e-02,3.05312500e+00,-1.37500000e-02,-1.12500000e-01
-5.90485000e-07,1.37500000e-01,3.08437500e+00,-3.62500000e-02,-7.26562500e-02
-5.90165000e-07,1.12500000e-01,2.89687500e+00,-2.00000000e-02,-5.54687500e-02
-5.89845000e-07,7.50000000e-02,3.08750000e+00,-4.43750000e-02,-6.56250000e-02
-5.89525000e-07,8.75000000e-02,3.03750000e+00,-4.06250000e-02,-5.93750000e-02
-5.89205000e-07,6.25000000e-02,3.19375000e+00,-3.56250000e-02,-1.63281250e-01
-5.88885000e-07,5.00000000e-02,3.04687500e+00,-4.25000000e-02,-1.64843750e-01
-5.88565000e-07,0.00000000e+00,3.10312500e+00,-1.43750000e-02,-1.35156250e-01
-5.88245000e-07,1.00000000e-01,3.16875000e+00,-4.56250000e-02,-5.54687500e-02
-5.87925000e-07,1.50000000e-01,3.14687500e+00,-1.87500000e-02,-3.67187500e-02
-5.87605000e-07,8.75000000e-02,3.08750000e+00,-4.37500000e-03,-5.93750000e-02
-5.87285000e-07,-3.75000000e-02,3.02187500e+00,-1.68750000e-02,-2.34375000e-02
