Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.00000000,,Zero Index,1874.00000000,,Zero Index,1874.00000000,,Zero Index,1874.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99680000e-07,1.12500000e-01,1.33250000e+01,-1.18750000e-02,-4.76562500e-02
-5.99360000e-07,0.00000000e+00,1.31625000e+01,-6.87500000e-03,-1.10937500e-01
-5.99040000e-07,1.50000000e-01,1.31375000e+01,1.81250000e-02,-1.32031250e-01
-5.98720000e-07,1.25000000e-01,1.32625000e+01,-3.12500000e-02,-3.67187500e-02
-5.98400000e-07,1.12500000e-01,1.33000000e+01,-6.75000000e-02,-1.79687500e-02
-5.98080000e-07,1.00000000e-01,1.30875000e+01,-1.68750000e-02,-4.14062500e-02
-5.97760000e-07,6.25000000e-02,1.30750000e+01,-2.25000000e-02,5.15625000e-02
-5.97440000e-07,2.25000000e-01,1.31875000e+01,-4.62500000e-02,5.15625000e-02
-5.97120000e-07,2.37500000e-01,1.32375000e+01,-3.75000000e-02,-2.81250000e-02
-5.96800000e-07,1.12500000e-01,1.31875000e+01,-1.12500000e-02,-8.28125000e-02
-5.96480000e-07,0.00000000e+00,1.31250000e+01,-4.06250000e-02,-1.11718750e-01
-5.96160000e-07,2.50000000e-02,1.30750000e+01,-3.62500000e-02,-1.00781250e-01
-5.95840000e-07,1.25000000e-01,1.32500000e+01,-2.81250000e-02,-1.35156250e-01
-5.95520000e-07,7.50000000e-02,1.30500000e+01,-1.37500000e-02,-1.77343750e-01
-5.95200000e-07,1.12500000e-01,1.31875000e+01,-3.56250000e-02,-1.07812500e-01
-5.94880000e-07,1.87500000e-01,1.31875000e+01,-3.87500000e-02,-9.45312500e-02
-5.94560000e-07,7.50000000e-02,1.32000000e+01,-6.87500000e-03,-1.57812500e-01
-5.94240000e-07,1.37500000e-01,1.30875000e+01,-1.43750000e-02,-1.64843750e-01
-5.93920000e-07,8.75000000e-02,1.32000000e+01,-1.43750000e-02,-1.71093750e-01
-5.93600000e-07,1.25000000e-02,1.31125000e+01,-1.50000000e-02,-9.60937500e-02
