Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.76562500,,Zero Index,1874.76562500,,Zero Index,1874.76562500,,Zero Index,1874.76562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99925000e-07,-3.75000000e-02,1.26000000e+01,-3.00000000e-02,-2.03125000e-02
-5.99605000e-07,2.50000000e-02,1.25875000e+01,-6.87500000e-03,6.32812500e-02
-5.99285000e-07,-2.50000000e-02,1.27250000e+01,-3.12500000e-02,-6.25000000e-03
-5.98965000e-07,-6.25000000e-02,1.26375000e+01,-4.37500000e-02,5.46875000e-03
-5.98645000e-07,7.50000000e-02,1.26750000e+01,-4.31250000e-02,-1.40625000e-02
-5.98325000e-07,1.00000000e-01,1.26875000e+01,-4.37500000e-03,-7.81250000e-02
-5.98005000e-07,-3.75000000e-02,1.27000000e+01,-3.81250000e-02,-3.51562500e-02
-5.97685000e-07,1.25000000e-02,1.25750000e+01,-2.18750000e-02,-4.37500000e-02
-5.97365000e-07,3.00000000e-01,1.26375000e+01,-4.37500000e-02,-1.08593750e-01
-5.97045000e-07,1.12500000e-01,1.26000000e+01,-3.50000000e-02,-6.40625000e-02
-5.96725000e-07,3.75000000e-02,1.26250000e+01,-6.25000000e-03,-6.48437500e-02
-5.96405000e-07,8.75000000e-02,1.26500000e+01,-3.56250000e-02,-1.14062500e-01
-5.96085000e-07,8.75000000e-02,1.27125000e+01,-3.56250000e-02,-9.45312500e-02
-5.95765000e-07,-5.00000000e-02,1.25875000e+01,-6.87500000e-03,-2.50000000e-02
-5.95445000e-07,1.62500000e-01,1.26750000e+01,-3.31250000e-02,-2.96875000e-02
-5.95125000e-07,1.25000000e-02,1.25500000e+01,-3.06250000e-02,-1.20312500e-01
-5.94805000e-07,0.00000000e+00,1.25875000e+01,-6.87500000e-03,-9.45312500e-02
-5.94485000e-07,1.25000000e-01,1.25750000e+01,-6.87500000e-03,-3.20312500e-02
-5.94165000e-07,1.12500000e-01,1.25500000e+01,-5.93750000e-02,-3.67187500e-02
-5.93845000e-07,-7.50000000e-02,1.27250000e+01,-4.31250000e-02,2.26562500e-02
-5.93525000e-07,3.75000000e-02,1.26625000e+01,-2.56250000e-02,7.18750000e-02
-5.93205000e-07,2.50000000e-02,1.25500000e+01,-3.87500000e-02,5.54687500e-02
-5.92885000e-07,0.00000000e+00,1.27000000e+01,-3.06250000e-02,3.35937500e-02
-5.92565000e-07,1.25000000e-02,1.26750000e+01,-3.25000000e-02,-2.57812500e-02
-5.92245000e-07,3.75000000e-02,1.26250000e+01,-6.87500000e-03,-5.39062500e-02
-5.91925000e-07,8.75000000e-02,1.26750000e+01,-5.06250000e-02,-1.00000000e-01
-5.91605000e-07,1.50000000e-01,1.27625000e+01,-3.31250000e-02,-7.73437500e-02
-5.91285000e-07,7.50000000e-02,1.26750000e+01,-4.31250000e-02,1.17187500e-02
-5.90965000e-07,1.37500000e-01,1.27000000e+01,-2.56250000e-02,1.25000000e-02
-5.90645000e-07,0.00000000e+00,1.26750000e+01,-3.81250000e-02,-5.46875000e-03
-5.90325000e-07,1.50000000e-01,1.28000000e+01,-3.75000000e-03,-6.25000000e-03
-5.90005000e-07,5.00000000e-02,1.25625000e+01,5.00000000e-03,3.35937500e-02
-5.89685000e-07,1.37500000e-01,1.26000000e+01,-5.12500000e-02,3.90625000e-02
-5.89365000e-07,2.25000000e-01,1.27125000e+01,-3.75000000e-03,-4.76562500e-02
-5.89045000e-07,1.12500000e-01,1.26375000e+01,-2.18750000e-02,-5.39062500e-02
-5.88725000e-07,-7.50000000e-02,1.27375000e+01,-4.37500000e-03,-6.32812500e-02
-5.88405000e-07,1.62500000e-01,1.27500000e+01,-1.00000000e-02,-1.06250000e-01
-5.88085000e-07,8.75000000e-02,1.25875000e+01,-4.12500000e-02,-1.07031250e-01
-5.87765000e-07,-8.75000000e-02,1.25750000e+01,-4.06250000e-02,-7.96875000e-02
-5.87445000e-07,1.12500000e-01,1.27000000e+01,-4.81250000e-02,-1.04687500e-01
-5.87125000e-07,1.25000000e-02,1.26375000e+01,-3.56250000e-02,1.09375000e-02
-5.86805000e-07,1.00000000e-01,1.25750000e+01,-3.00000000e-02,1.87500000e-02
-5.86485000e-07,2.12500000e-01,1.27625000e+01,-1.68750000e-02,-6.48437500e-02
-5.86165000e-07,1.12500000e-01,1.25625000e+01,-3.81250000e-02,-6.71875000e-02
-5.85845000e-07,8.75000000e-02,1.26125000e+01,-1.37500000e-02,7.81250000e-04
-5.85525000e-07,7.50000000e-02,1.25250000e+01,-3.62500000e-02,-4.29687500e-02
-5.85205000e-07,1.37500000e-01,1.26750000e+01,-3.06250000e-02,-1.22656250e-01
-5.84885000e-07,2.25000000e-01,1.26875000e+01,5.62500000e-03,-2.03125000e-02
-5.84565000e-07,0.00000000e+00,1.28500000e+01,-2.81250000e-02,2.34375000e-02
-5.84245000e-07,3.75000000e-02,1.25125000e+01,-3.37500000e-02,-4.60937500e-02
-5.83925000e-07,1.12500000e-01,1.24500000e+01,-4.37500000e-02,-5.31250000e-02
-5.83605000e-07,1.25000000e-01,1.25500000e+01,-1.62500000e-02,-4.53125000e-02
-5.83285000e-07,7.50000000e-02,1.26250000e+01,-1.18750000e-02,-3.12500000e-02
-5.82965000e-07,7.50000000e-02,1.26000000e+01,-4.06250000e-02,-5.70312500e-02
-5.82645000e-07,6.25000000e-02,1.25625000e+01,5.62500000e-03,-5.70312500e-02
-5.82325000e-07,1.12500000e-01,1.25750000e+01,-3.62500000e-02,-1.71875000e-02
-5.82005000e-07,2.12500000e-01,1.26875000e+01,-3.18750000e-02,-5.15625000e-02
-5.81685000e-07,1.25000000e-01,1.26625000e+01,-8.56250000e-02,-5.00000000e-02
-5.81365000e-07,7.50000000e-02,1.25375000e+01,-3.25000000e-02,-1.25000000e-02
-5.81045000e-07,3.75000000e-02,1.26375000e+01,-3.37500000e-02,-7.81250000e-03
-5.80725000e-07,-2.50000000e-02,1.28250000e+01,-9.37500000e-03,1.17187500e-02
-5.80405000e-07,3.75000000e-02,1.25875000e+01,-2.00000000e-02,4.37500000e-02
-5.80085000e-07,1.37500000e-01,1.28500000e+01,6.25000000e-04,2.34375000e-02
-5.79765000e-07,1.62500000e-01,1.27125000e+01,-1.00000000e-02,5.62500000e-02
-5.79445000e-07,2.50000000e-02,1.25500000e+01,-3.87500000e-02,-1.32812500e-02
-5.79125000e-07,7.50000000e-02,1.26625000e+01,-2.18750000e-02,-7.34375000e-02
-5.78805000e-07,6.25000000e-02,1.26375000e+01,-3.12500000e-02,-7.65625000e-02
