Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99920000e-07,-1.25000000e-02,6.06250000e-01,-3.31250000e-02,-6.40625000e-02
-5.99600000e-07,6.25000000e-02,5.06250000e-01,-1.75000000e-02,-1.24218750e-01
-5.99280000e-07,3.75000000e-02,6.31250000e-01,-3.68750000e-02,-1.42968750e-01
-5.98960000e-07,8.75000000e-02,5.78125000e-01,-6.25000000e-03,-1.08593750e-01
-5.98640000e-07,8.75000000e-02,4.62500000e-01,-9.37500000e-03,-1.43750000e-01
-5.98320000e-07,1.25000000e-01,6.34375000e-01,-2.87500000e-02,-1.47656250e-01
-5.98000000e-07,7.50000000e-02,6.87500000e-01,-1.43750000e-02,-1.05468750e-01
-5.97680000e-07,2.00000000e-01,6.62500000e-01,-5.00000000e-03,-5.85937500e-02
-5.97360000e-07,2.37500000e-01,4.21875000e-01,-4.37500000e-02,8.59375000e-03
-5.97040000e-07,2.12500000e-01,4.37500000e-01,-4.37500000e-02,-3.12500000e-02
-5.96720000e-07,1.12500000e-01,6.18750000e-01,-3.12500000e-02,-8.43750000e-02
-5.96400000e-07,1.00000000e-01,5.18750000e-01,-3.50000000e-02,-1.04687500e-01
-5.96080000e-07,1.12500000e-01,5.56250000e-01,6.25000000e-03,-1.40625000e-01
-5.95760000e-07,6.25000000e-02,5.18750000e-01,-1.18750000e-02,-9.06250000e-02
-5.95440000e-07,5.00000000e-02,5.06250000e-01,-3.06250000e-02,-4.76562500e-02
-5.95120000e-07,-1.25000000e-02,6.15625000e-01,-1.62500000e-02,-6.40625000e-02
-5.94800000e-07,1.50000000e-01,4.12500000e-01,-8.75000000e-03,-1.29687500e-01
-5.94480000e-07,2.62500000e-01,5.68750000e-01,-3.12500000e-02,-1.34375000e-01
-5.94160000e-07,1.37500000e-01,6.18750000e-01,-2.87500000e-02,-6.25000000e-02
-5.93840000e-07,1.62500000e-01,6.90625000e-01,-3.56250000e-02,-2.96875000e-02
-5.93520000e-07,1.50000000e-01,5.90625000e-01,-1.43750000e-02,-1.21875000e-01
-5.93200000e-07,-1.25000000e-02,6.06250000e-01,-2.81250000e-02,-5.31250000e-02
-5.92880000e-07,7.50000000e-02,5.84375000e-01,-2.12500000e-02,-4.60937500e-02
-5.92560000e-07,1.75000000e-01,6.56250000e-01,-1.75000000e-02,-1.92187500e-01
-5.92240000e-07,7.50000000e-02,4.81250000e-01,-1.43750000e-02,-2.02343750e-01
-5.91920000e-07,-5.00000000e-02,5.68750000e-01,-1.87500000e-03,-9.37500000e-02
-5.91600000e-07,8.75000000e-02,5.53125000e-01,-1.50000000e-02,-1.71875000e-01
-5.91280000e-07,1.87500000e-01,4.50000000e-01,-2.81250000e-02,-1.91406250e-01
-5.90960000e-07,5.00000000e-02,5.56250000e-01,-9.37500000e-03,-1.62500000e-01
-5.90640000e-07,3.75000000e-02,5.56250000e-01,-4.81250000e-02,-1.38281250e-01
-5.90320000e-07,1.25000000e-01,5.93750000e-01,-1.25000000e-03,-9.06250000e-02
-5.90000000e-07,1.12500000e-01,5.31250000e-01,-4.37500000e-03,-4.29687500e-02
-5.89680000e-07,1.25000000e-02,6.18750000e-01,8.12500000e-03,-2.50000000e-02
-5.89360000e-07,1.25000000e-01,6.31250000e-01,-3.56250000e-02,-7.50000000e-02
-5.89040000e-07,7.50000000e-02,6.06250000e-01,5.62500000e-03,-1.78906250e-01
-5.88720000e-07,1.25000000e-01,5.40625000e-01,-6.87500000e-03,-1.04687500e-01
-5.88400000e-07,7.50000000e-02,4.59375000e-01,-1.68750000e-02,-8.20312500e-02
-5.88080000e-07,1.25000000e-01,5.31250000e-01,-2.18750000e-02,-1.25781250e-01
-5.87760000e-07,2.12500000e-01,6.56250000e-01,-2.56250000e-02,-1.59375000e-01
-5.87440000e-07,2.50000000e-01,6.06250000e-01,-1.25000000e-02,-1.16406250e-01
-5.87120000e-07,1.25000000e-01,5.18750000e-01,-3.12500000e-02,-5.00000000e-02
-5.86800000e-07,2.25000000e-01,6.71875000e-01,-1.87500000e-02,-2.57812500e-02
-5.86480000e-07,1.25000000e-01,7.12500000e-01,3.12500000e-03,-4.68750000e-02
-5.86160000e-07,1.37500000e-01,5.28125000e-01,-6.87500000e-03,-5.31250000e-02
-5.85840000e-07,1.50000000e-01,7.78125000e-01,-2.18750000e-02,-1.15625000e-01
-5.85520000e-07,1.00000000e-01,5.15625000e-01,-9.37500000e-03,-1.64843750e-01
-5.85200000e-07,5.00000000e-02,5.75000000e-01,6.25000000e-04,-8.35937500e-02
-5.84880000e-07,6.25000000e-02,7.12500000e-01,-1.18750000e-02,1.17187500e-02
-5.84560000e-07,1.00000000e-01,6.40625000e-01,1.56250000e-02,2.57812500e-02
-5.84240000e-07,2.50000000e-02,6.34375000e-01,-3.12500000e-02,-2.57812500e-02
-5.83920000e-07,1.87500000e-01,5.56250000e-01,-3.31250000e-02,-9.21875000e-02
-5.83600000e-07,2.25000000e-01,5.06250000e-01,-6.87500000e-03,-9.53125000e-02
-5.83280000e-07,1.75000000e-01,6.71875000e-01,-2.12500000e-02,-8.43750000e-02
-5.82960000e-07,1.87500000e-01,7.40625000e-01,-1.43750000e-02,-5.93750000e-02
-5.82640000e-07,2.50000000e-01,6.96875000e-01,6.25000000e-04,-1.01562500e-01
-5.82320000e-07,1.75000000e-01,5.40625000e-01,-7.50000000e-03,-1.03906250e-01
-5.82000000e-07,1.12500000e-01,4.84375000e-01,-4.37500000e-02,-3.90625000e-02
-5.81680000e-07,2.12500000e-01,6.59375000e-01,-3.00000000e-02,-2.34375000e-03
-5.81360000e-07,1.25000000e-01,7.03125000e-01,-6.25000000e-03,-7.03125000e-02
-5.81040000e-07,1.62500000e-01,6.15625000e-01,-8.75000000e-03,-1.35937500e-01
-5.80720000e-07,1.25000000e-01,7.00000000e-01,-1.00000000e-02,-1.85156250e-01
-5.80400000e-07,1.62500000e-01,5.31250000e-01,-3.87500000e-02,-1.28906250e-01
-5.80080000e-07,5.00000000e-02,5.59375000e-01,-1.87500000e-02,-1.00781250e-01
-5.79760000e-07,7.50000000e-02,5.68750000e-01,-3.12500000e-02,-1.78125000e-01
-5.79440000e-07,3.75000000e-02,7.00000000e-01,-1.43750000e-02,-1.49218750e-01
-5.79120000e-07,1.00000000e-01,6.15625000e-01,-1.25000000e-02,-1.43750000e-01
-5.78800000e-07,2.75000000e-01,6.09375000e-01,-2.62500000e-02,-1.67187500e-01
-5.78480000e-07,1.62500000e-01,4.81250000e-01,-4.37500000e-03,-1.34375000e-01
-5.78160000e-07,1.12500000e-01,5.93750000e-01,2.50000000e-02,-1.01562500e-01
-5.77840000e-07,1.00000000e-01,5.84375000e-01,-2.00000000e-02,-1.17968750e-01
-5.77520000e-07,2.50000000e-01,7.12500000e-01,-2.56250000e-02,-1.26562500e-01
-5.77200000e-07,1.25000000e-01,5.65625000e-01,-2.18750000e-02,-1.11718750e-01
-5.76880000e-07,1.37500000e-01,5.93750000e-01,-1.62500000e-02,-1.31250000e-01
-5.76560000e-07,2.12500000e-01,4.93750000e-01,8.12500000e-03,-1.71093750e-01
-5.76240000e-07,1.00000000e-01,5.93750000e-01,-6.87500000e-03,-1.65625000e-01
-5.75920000e-07,1.12500000e-01,5.93750000e-01,-9.37500000e-03,-1.51562500e-01
-5.75600000e-07,1.12500000e-01,6.31250000e-01,-1.93750000e-02,-2.00000000e-01
-5.75280000e-07,8.75000000e-02,5.18750000e-01,-1.43750000e-02,-2.37500000e-01
-5.74960000e-07,7.50000000e-02,6.56250000e-01,-9.37500000e-03,-8.82812500e-02
-5.74640000e-07,-2.50000000e-02,5.81250000e-01,-6.87500000e-03,-7.96875000e-02
-5.74320000e-07,2.50000000e-02,5.31250000e-01,-3.12500000e-02,-1.70312500e-01
-5.74000000e-07,3.75000000e-02,4.93750000e-01,-3.31250000e-02,-1.42187500e-01
-5.73680000e-07,1.12500000e-01,6.34375000e-01,-2.00000000e-02,-8.12500000e-02
-5.73360000e-07,1.00000000e-01,7.40625000e-01,-4.06250000e-02,-7.57812500e-02
-5.73040000e-07,-1.25000000e-02,7.31250000e-01,-1.93750000e-02,-1.30468750e-01
-5.72720000e-07,5.00000000e-02,4.34375000e-01,-3.37500000e-02,-1.20312500e-01
-5.72400000e-07,6.25000000e-02,6.59375000e-01,-2.56250000e-02,-4.37500000e-02
-5.72080000e-07,7.50000000e-02,5.43750000e-01,-3.56250000e-02,-5.15625000e-02
-5.71760000e-07,1.00000000e-01,5.75000000e-01,-2.12500000e-02,-6.17187500e-02
-5.71440000e-07,1.25000000e-01,4.12500000e-01,2.31250000e-02,-1.12500000e-01
-5.71120000e-07,2.50000000e-01,6.53125000e-01,-2.25000000e-02,-1.09375000e-01
-5.70800000e-07,2.00000000e-01,4.50000000e-01,-5.37500000e-02,-1.21093750e-01
-5.70480000e-07,3.75000000e-02,6.43750000e-01,-4.06250000e-02,-1.35937500e-01
-5.70160000e-07,5.00000000e-02,5.93750000e-01,-1.87500000e-02,-1.19531250e-01
-5.69840000e-07,1.62500000e-01,5.81250000e-01,5.62500000e-03,-2.57812500e-02
-5.69520000e-07,6.25000000e-02,4.81250000e-01,-2.50000000e-03,-3.12500000e-02
-5.69200000e-07,1.75000000e-01,5.81250000e-01,-4.37500000e-02,-6.40625000e-02
-5.68880000e-07,2.12500000e-01,5.53125000e-01,-3.81250000e-02,-6.32812500e-02
-5.68560000e-07,1.87500000e-01,4.81250000e-01,-3.75000000e-03,-1.21093750e-01
-5.68240000e-07,1.25000000e-01,5.18750000e-01,3.12500000e-03,-2.18750000e-01
