Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.50000000,,Zero Index,1874.50000000,,Zero Index,1874.50000000,,Zero Index,1874.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99840000e-07,1.87500000e-01,9.75000000e-01,-8.75000000e-03,-1.19531250e-01
-5.99520000e-07,2.50000000e-02,9.62500000e-01,-2.00000000e-02,-8.98437500e-02
-5.99200000e-07,1.75000000e-01,1.07500000e+00,-1.93750000e-02,-1.25000000e-01
-5.98880000e-07,2.37500000e-01,1.17500000e+00,-4.37500000e-02,-6.56250000e-02
-5.98560000e-07,1.87500000e-01,1.15000000e+00,-1.43750000e-02,-1.10937500e-01
-5.98240000e-07,1.25000000e-01,1.02500000e+00,-1.06250000e-02,-7.57812500e-02
-5.97920000e-07,1.50000000e-01,1.01250000e+00,-4.12500000e-02,-9.84375000e-02
-5.97600000e-07,1.25000000e-01,1.01250000e+00,-3.06250000e-02,-6.25000000e-02
-5.97280000e-07,1.62500000e-01,1.07500000e+00,-2.50000000e-02,-5.46875000e-02
-5.96960000e-07,1.00000000e-01,8.87500000e-01,8.75000000e-03,-9.21875000e-02
-5.96640000e-07,1.00000000e-01,1.10000000e+00,-2.50000000e-02,-1.09375000e-01
-5.96320000e-07,7.50000000e-02,1.06250000e+00,-9.37500000e-03,-8.67187500e-02
-5.96000000e-07,1.50000000e-01,1.03750000e+00,-4.12500000e-02,-1.41406250e-01
-5.95680000e-07,1.50000000e-01,1.12500000e+00,-3.31250000e-02,-7.89062500e-02
-5.95360000e-07,1.25000000e-02,1.15000000e+00,-3.12500000e-02,1.01562500e-02
-5.95040000e-07,1.00000000e-01,9.50000000e-01,-4.06250000e-02,-9.14062500e-02
-5.94720000e-07,1.37500000e-01,9.50000000e-01,-3.37500000e-02,-6.09375000e-02
-5.94400000e-07,2.00000000e-01,8.50000000e-01,-3.06250000e-02,1.87500000e-02
-5.94080000e-07,3.75000000e-02,1.17500000e+00,-2.56250000e-02,-2.81250000e-02
-5.93760000e-07,1.87500000e-01,9.50000000e-01,-4.31250000e-02,-3.98437500e-02
-5.93440000e-07,1.62500000e-01,9.87500000e-01,-4.50000000e-02,-3.43750000e-02
-5.93120000e-07,-1.25000000e-02,1.07500000e+00,1.25000000e-03,-7.10937500e-02
-5.92800000e-07,5.00000000e-02,1.16250000e+00,-1.62500000e-02,-1.95312500e-02
-5.92480000e-07,2.12500000e-01,9.62500000e-01,-3.87500000e-02,-2.18750000e-02
-5.92160000e-07,1.25000000e-02,1.16250000e+00,-5.37500000e-02,-4.37500000e-02
-5.91840000e-07,8.75000000e-02,9.75000000e-01,-1.93750000e-02,-8.67187500e-02
-5.91520000e-07,1.50000000e-01,1.01250000e+00,3.12500000e-03,-1.02343750e-01
-5.91200000e-07,6.25000000e-02,1.12500000e+00,-4.87500000e-02,-5.23437500e-02
-5.90880000e-07,1.87500000e-01,1.11250000e+00,-4.31250000e-02,1.71875000e-02
-5.90560000e-07,8.75000000e-02,9.75000000e-01,-1.50000000e-02,-7.03125000e-03
-5.90240000e-07,6.25000000e-02,1.05000000e+00,-1.87500000e-02,-6.87500000e-02
-5.89920000e-07,1.25000000e-01,1.07500000e+00,-3.56250000e-02,-2.57812500e-02
-5.89600000e-07,8.75000000e-02,1.12500000e+00,-2.00000000e-02,-1.09375000e-02
-5.89280000e-07,1.25000000e-02,9.12500000e-01,-5.87500000e-02,-1.46093750e-01
-5.88960000e-07,3.75000000e-02,1.08750000e+00,-3.75000000e-03,-8.28125000e-02
-5.88640000e-07,5.00000000e-02,1.08750000e+00,-1.75000000e-02,2.34375000e-02
-5.88320000e-07,1.25000000e-01,1.02500000e+00,-6.75000000e-02,-2.96875000e-02
-5.88000000e-07,1.00000000e-01,1.06250000e+00,-3.56250000e-02,-1.56250000e-02
-5.87680000e-07,7.50000000e-02,1.02500000e+00,-2.75000000e-02,4.45312500e-02
-5.87360000e-07,1.50000000e-01,9.50000000e-01,-8.75000000e-03,2.03125000e-02
-5.87040000e-07,1.25000000e-01,1.13750000e+00,-1.43750000e-02,-3.35937500e-02
-5.86720000e-07,1.62500000e-01,1.02500000e+00,-3.56250000e-02,-6.71875000e-02
-5.86400000e-07,8.75000000e-02,1.07500000e+00,-2.81250000e-02,2.96875000e-02
-5.86080000e-07,2.25000000e-01,9.12500000e-01,-4.56250000e-02,-2.73437500e-02
