Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.00000000,,Zero Index,1874.00000000,,Zero Index,1874.00000000,,Zero Index,1874.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99680000e-07,3.25000000e-01,1.11750000e+01,-1.18750000e-02,-8.98437500e-02
-5.99360000e-07,1.87500000e-01,1.13125000e+01,-1.12500000e-02,-1.14062500e-01
-5.99040000e-07,1.25000000e-01,1.11750000e+01,-2.25000000e-02,-1.92968750e-01
-5.98720000e-07,2.37500000e-01,1.10750000e+01,-3.37500000e-02,-2.06250000e-01
-5.98400000e-07,0.00000000e+00,1.11125000e+01,-3.25000000e-02,-8.59375000e-02
-5.98080000e-07,1.75000000e-01,1.11750000e+01,-1.25000000e-03,-1.48437500e-02
-5.97760000e-07,1.25000000e-01,1.11250000e+01,-1.37500000e-02,-5.46875000e-02
-5.97440000e-07,1.62500000e-01,1.11750000e+01,-1.18750000e-02,-1.15625000e-01
-5.97120000e-07,1.37500000e-01,1.11250000e+01,-2.81250000e-02,-1.31250000e-01
-5.96800000e-07,1.87500000e-01,1.11750000e+01,-1.18750000e-02,-1.07812500e-01
-5.96480000e-07,7.50000000e-02,1.12375000e+01,-1.87500000e-03,-1.20312500e-01
-5.96160000e-07,1.12500000e-01,1.11250000e+01,6.25000000e-04,-8.12500000e-02
